stat,value,pct,cum_pct
simSeconds,0.000466,,
simTicks,465773000.0,,
finalTick,465773000.0,,
simFreq,1000000000000.0,,
hostSeconds,16.79,,
hostTickRate,27737144.0,,
hostMemory,8530740.0,,
simInsts,700225.0,,
simOps,700231.0,,
hostInstRate,41699.0,,
hostOpRate,41699.0,,
system.chaos.numFaultsInjected,31.0,,
system.chaos.numBitFlips,31.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,465774.0,,
system.cpu.cpi,0.665178,,
system.cpu.ipc,1.503358,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,771402.0,,
system.cpu.nonSpecInstsAdded,2153.0,,
system.cpu.instsIssued,759527.0,,
system.cpu.squashedInstsIssued,1758.0,,
system.cpu.squashedInstsExamined,73323.0,,
system.cpu.squashedOperandsExamined,37184.0,,
system.cpu.squashedNonSpecRemoved,2104.0,,
system.cpu.numIssuedDist::samples,460408.0,,
system.cpu.numIssuedDist::mean,1.649682,,
system.cpu.numIssuedDist::stdev,2.198458,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,201257.0,43.71,43.71
system.cpu.numIssuedDist::1,104024.0,22.59,66.31
system.cpu.numIssuedDist::2,35474.0,7.7,74.01
system.cpu.numIssuedDist::3,39428.0,8.56,82.58
system.cpu.numIssuedDist::4,21437.0,4.66,87.23
system.cpu.numIssuedDist::5,13833.0,3.0,90.24
system.cpu.numIssuedDist::6,17873.0,3.88,94.12
system.cpu.numIssuedDist::7,12536.0,2.72,96.84
system.cpu.numIssuedDist::8,14546.0,3.16,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,460408.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,4188.0,16.47,16.47
system.cpu.statFuBusy::IntMult,0.0,0.0,16.47
system.cpu.statFuBusy::IntDiv,0.0,0.0,16.47
system.cpu.statFuBusy::ByteMult,0.0,0.0,16.47
system.cpu.statFuBusy::ByteDiv,0.0,0.0,16.47
system.cpu.statFuBusy::FloatAdd,0.0,0.0,16.47
system.cpu.statFuBusy::FloatCmp,0.0,0.0,16.47
system.cpu.statFuBusy::FloatCvt,0.0,0.0,16.47
system.cpu.statFuBusy::FloatMult,0.0,0.0,16.47
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,16.47
system.cpu.statFuBusy::FloatDiv,0.0,0.0,16.47
system.cpu.statFuBusy::FloatMisc,0.0,0.0,16.47
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,16.47
system.cpu.statFuBusy::SimdAdd,0.0,0.0,16.47
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,16.47
system.cpu.statFuBusy::SimdAlu,0.0,0.0,16.47
system.cpu.statFuBusy::SimdCmp,0.0,0.0,16.47
system.cpu.statFuBusy::SimdCvt,0.0,0.0,16.47
system.cpu.statFuBusy::SimdMisc,0.0,0.0,16.47
system.cpu.statFuBusy::SimdMult,0.0,0.0,16.47
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,16.47
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,16.47
system.cpu.statFuBusy::SimdShift,0.0,0.0,16.47
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,16.47
system.cpu.statFuBusy::SimdDiv,0.0,0.0,16.47
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,16.47
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,16.47
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,16.47
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,16.47
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,16.47
system.cpu.statFuBusy::SimdAes,0.0,0.0,16.47
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,16.47
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,16.47
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,16.47
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,16.47
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,16.47
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,16.47
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,16.47
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,16.47
system.cpu.statFuBusy::Matrix,0.0,0.0,16.47
system.cpu.statFuBusy::MatrixMov,0.0,0.0,16.47
system.cpu.statFuBusy::MatrixOP,0.0,0.0,16.47
system.cpu.statFuBusy::MemRead,8756.0,34.43,50.89
system.cpu.statFuBusy::MemWrite,12486.0,49.09,99.99
system.cpu.statFuBusy::FloatMemRead,0.0,0.0,99.99
system.cpu.statFuBusy::FloatMemWrite,3.0,0.01,100.0
system.cpu.statFuBusy::IprAccess,0.0,0.0,100.0
system.cpu.statFuBusy::InstPrefetch,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideFaultOnlyFirstLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatConvert,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorMisc,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerExtension,0.0,0.0,100.0
system.cpu.statFuBusy::VectorConfig,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::No_OpClass,26.0,0.0,0.0
system.cpu.statIssuedInstType_0::IntAlu,418833.0,55.14,55.15
system.cpu.statIssuedInstType_0::IntMult,4.0,0.0,55.15
system.cpu.statIssuedInstType_0::IntDiv,5.0,0.0,55.15
system.cpu.statIssuedInstType_0::ByteMult,0.0,0.0,55.15
system.cpu.statIssuedInstType_0::ByteDiv,0.0,0.0,55.15
system.cpu.statIssuedInstType_0::FloatAdd,0.0,0.0,55.15
system.cpu.statIssuedInstType_0::FloatCmp,0.0,0.0,55.15
system.cpu.statIssuedInstType_0::FloatCvt,0.0,0.0,55.15
