
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000108                       # Number of seconds simulated (Second)
simTicks                                    108093000                       # Number of ticks simulated (Tick)
finalTick                                   108093000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.86                       # Real time elapsed on the host (Second)
hostTickRate                                 37791267                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8529256                       # Number of bytes of host memory used (Byte)
simInsts                                       152009                       # Number of instructions simulated (Count)
simOps                                         152009                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    53144                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      53144                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                     62                       # Total number of faults injected (Count)
system.chaos.numBitFlips                           62                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           108094                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.711103                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.406267                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          158734                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       40                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         169869                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    188                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6764                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              3531                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  14                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              105186                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.614939                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.287516                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     58442     55.56%     55.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      9141      8.69%     64.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      8734      8.30%     72.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      6835      6.50%     79.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      5600      5.32%     84.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      5345      5.08%     89.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      6225      5.92%     95.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2632      2.50%     97.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2232      2.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                105186                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     629     18.70%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     18.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     18.70% # attempts to use FU when none available (Count)
