stat,value,pct,cum_pct
simSeconds,0.000328,,
simTicks,327579000.0,,
finalTick,327579000.0,,
simFreq,1000000000000.0,,
hostSeconds,4.3,,
hostTickRate,76139215.0,,
hostMemory,8528148.0,,
simInsts,174985.0,,
simOps,174985.0,,
hostInstRate,40671.0,,
hostOpRate,40671.0,,
system.chaos.numFaultsInjected,17.0,,
system.chaos.numBitFlips,17.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,327580.0,,
system.cpu.cpi,1.872046,,
system.cpu.ipc,0.534175,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,181812.0,,
system.cpu.nonSpecInstsAdded,42.0,,
system.cpu.instsIssued,196483.0,,
system.cpu.squashedInstsIssued,195.0,,
system.cpu.squashedInstsExamined,6868.0,,
system.cpu.squashedOperandsExamined,3587.0,,
system.cpu.squashedNonSpecRemoved,16.0,,
system.cpu.numIssuedDist::samples,324744.0,,
system.cpu.numIssuedDist::mean,0.60504,,
system.cpu.numIssuedDist::stdev,1.544102,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,266467.0,82.05,82.05
system.cpu.numIssuedDist::1,11378.0,3.5,85.56
system.cpu.numIssuedDist::2,12269.0,3.78,89.34
system.cpu.numIssuedDist::3,12579.0,3.87,93.21
system.cpu.numIssuedDist::4,5611.0,1.73,94.94
system.cpu.numIssuedDist::5,5351.0,1.65,96.59
system.cpu.numIssuedDist::6,6226.0,1.92,98.5
system.cpu.numIssuedDist::7,2629.0,0.81,99.31
system.cpu.numIssuedDist::8,2234.0,0.69,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,324744.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,629.0,18.64,18.64
system.cpu.statFuBusy::IntMult,0.0,0.0,18.64
system.cpu.statFuBusy::IntDiv,0.0,0.0,18.64
system.cpu.statFuBusy::ByteMult,0.0,0.0,18.64
system.cpu.statFuBusy::ByteDiv,0.0,0.0,18.64
system.cpu.statFuBusy::FloatAdd,0.0,0.0,18.64
system.cpu.statFuBusy::FloatCmp,0.0,0.0,18.64
system.cpu.statFuBusy::FloatCvt,0.0,0.0,18.64
system.cpu.statFuBusy::FloatMult,0.0,0.0,18.64
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::FloatDiv,0.0,0.0,18.64
system.cpu.statFuBusy::FloatMisc,0.0,0.0,18.64
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAdd,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAlu,0.0,0.0,18.64
system.cpu.statFuBusy::SimdCmp,0.0,0.0,18.64
system.cpu.statFuBusy::SimdCvt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdMisc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdMult,0.0,0.0,18.64
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdShift,0.0,0.0,18.64
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdDiv,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,18.64
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,18.64
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAes,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,18.64
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,18.64
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,18.64
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,18.64
system.cpu.statFuBusy::Matrix,0.0,0.0,18.64
system.cpu.statFuBusy::MatrixMov,0.0,0.0,18.64
system.cpu.statFuBusy::MatrixOP,0.0,0.0,18.64
system.cpu.statFuBusy::MemRead,2687.0,79.64,98.28
system.cpu.statFuBusy::MemWrite,58.0,1.72,100.0
system.cpu.statFuBusy::FloatMemRead,0.0,0.0,100.0
system.cpu.statFuBusy::FloatMemWrite,0.0,0.0,100.0
system.cpu.statFuBusy::IprAccess,0.0,0.0,100.0
system.cpu.statFuBusy::InstPrefetch,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideFaultOnlyFirstLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatConvert,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorMisc,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerExtension,0.0,0.0,100.0
system.cpu.statFuBusy::VectorConfig,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::No_OpClass,26.0,0.01,0.01
system.cpu.statIssuedInstType_0::IntAlu,123932.0,63.08,63.09
system.cpu.statIssuedInstType_0::IntMult,1.0,0.0,63.09
system.cpu.statIssuedInstType_0::IntDiv,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::ByteMult,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::ByteDiv,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::FloatAdd,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::FloatCmp,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::FloatCvt,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::FloatMult,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::FloatMultAcc,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::FloatDiv,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::FloatMisc,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::FloatSqrt,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::SimdAdd,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::SimdAddAcc,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::SimdAlu,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::SimdCmp,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::SimdCvt,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::SimdMisc,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::SimdMult,0.0,0.0,63.09
system.cpu.statIssuedInstType_0::SimdMultAcc,0.0,0.0,63.09
