run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,OK,0,10,-,2026-05-10T02:40:30+00:00,2026-05-10T02:40:40+00:00
2,OK,0,10,-,2026-05-10T02:40:30+00:00,2026-05-10T02:40:40+00:00
5,OK,0,10,-,2026-05-10T02:40:30+00:00,2026-05-10T02:40:40+00:00
3,OK,0,10,-,2026-05-10T02:40:30+00:00,2026-05-10T02:40:40+00:00
6,OK,0,10,-,2026-05-10T02:40:30+00:00,2026-05-10T02:40:40+00:00
4,OK,0,10,-,2026-05-10T02:40:30+00:00,2026-05-10T02:40:40+00:00
10,OK,0,10,-,2026-05-10T02:40:40+00:00,2026-05-10T02:40:50+00:00
7,OK,0,10,-,2026-05-10T02:40:40+00:00,2026-05-10T02:40:50+00:00
11,OK,0,10,-,2026-05-10T02:40:40+00:00,2026-05-10T02:40:50+00:00
9,OK,0,10,-,2026-05-10T02:40:40+00:00,2026-05-10T02:40:50+00:00
8,OK,0,10,-,2026-05-10T02:40:40+00:00,2026-05-10T02:40:50+00:00
12,OK,0,10,-,2026-05-10T02:40:40+00:00,2026-05-10T02:40:50+00:00
13,OK,0,11,-,2026-05-10T02:40:50+00:00,2026-05-10T02:41:01+00:00
14,OK,0,11,-,2026-05-10T02:40:50+00:00,2026-05-10T02:41:01+00:00
15,OK,0,11,-,2026-05-10T02:40:50+00:00,2026-05-10T02:41:01+00:00
